parfamName,yearIndex,parfam,countryname,environ,culture,equality,pervote,rile,staticRile,electionDate,partyname
LIB,1957,40,Netherlands,0.0,2.7,3.8,8.774000000000001,10.4,4.61,June 1956,People’s Party for Freedom and Democracy
CHR,1957,50,Netherlands,0.8,2.6,4.2,31.693,8.6,6.13,June 1956,Catholic People’s Party
CHR,1957,50,Netherlands,2.0,1.5,1.5,9.909,8.5,6.13,June 1956,Anti-Revolutionary Party
CHR,1957,50,Netherlands,0.0,0.0,5.4,8.431000000000001,26.9,6.13,June 1956,Christian Historical Union
SOC,1958,30,Netherlands,1.0,3.8,7.0,32.687,-21.0,-14.0,June 1956,Labour Party
LIB,1958,40,Netherlands,0.0,2.7,3.8,8.774000000000001,10.4,4.61,June 1956,People’s Party for Freedom and Democracy
CHR,1958,50,Netherlands,0.8,2.6,4.2,31.693,8.6,6.13,June 1956,Catholic People’s Party
CHR,1958,50,Netherlands,2.0,1.5,1.5,9.909,8.5,6.13,June 1956,Anti-Revolutionary Party
CHR,1958,50,Netherlands,0.0,0.0,5.4,8.431000000000001,26.9,6.13,June 1956,Christian Historical Union
SOC,1959,30,Netherlands,0.0,4.1,2.7,30.357,-28.2,-14.0,March 1959,Labour Party
LIB,1959,40,Netherlands,0.0,0.9,6.4,12.212,17.4,4.61,March 1959,People’s Party for Freedom and Democracy
CHR,1959,50,Netherlands,1.3,3.9,2.6,31.601,-9.1,6.13,March 1959,Catholic People’s Party
CHR,1959,50,Netherlands,0.0,2.1,5.600000000000001,9.386,16.9,6.13,March 1959,Anti-Revolutionary Party
CHR,1959,50,Netherlands,0.0,1.6,4.7,8.107999999999999,14.0,6.13,March 1959,Christian Historical Union
SOC,1960,30,Netherlands,0.0,4.1,2.7,30.357,-28.2,-14.0,March 1959,Labour Party
LIB,1960,40,Netherlands,0.0,0.9,6.4,12.212,17.4,4.61,March 1959,People’s Party for Freedom and Democracy
CHR,1960,50,Netherlands,1.3,3.9,2.6,31.601,-9.1,6.13,March 1959,Catholic People’s Party
CHR,1960,50,Netherlands,0.0,2.1,5.600000000000001,9.386,16.9,6.13,March 1959,Anti-Revolutionary Party
CHR,1960,50,Netherlands,0.0,1.6,4.7,8.107999999999999,14.0,6.13,March 1959,Christian Historical Union
SOC,1961,30,Netherlands,0.0,4.1,2.7,30.357,-28.2,-14.0,March 1959,Labour Party
LIB,1961,40,Netherlands,0.0,0.9,6.4,12.212,17.4,4.61,March 1959,People’s Party for Freedom and Democracy
CHR,1961,50,Netherlands,1.3,3.9,2.6,31.601,-9.1,6.13,March 1959,Catholic People’s Party
CHR,1961,50,Netherlands,0.0,2.1,5.600000000000001,9.386,16.9,6.13,March 1959,Anti-Revolutionary Party
CHR,1961,50,Netherlands,0.0,1.6,4.7,8.107999999999999,14.0,6.13,March 1959,Christian Historical Union
SOC,1962,30,Netherlands,0.0,4.1,2.7,30.357,-28.2,-14.0,March 1959,Labour Party
LIB,1962,40,Netherlands,0.0,0.9,6.4,12.212,17.4,4.61,March 1959,People’s Party for Freedom and Democracy
CHR,1962,50,Netherlands,1.3,3.9,2.6,31.601,-9.1,6.13,March 1959,Catholic People’s Party
CHR,1962,50,Netherlands,0.0,2.1,5.600000000000001,9.386,16.9,6.13,March 1959,Anti-Revolutionary Party
CHR,1962,50,Netherlands,0.0,1.6,4.7,8.107999999999999,14.0,6.13,March 1959,Christian Historical Union
SOC,1963,30,Netherlands,0.6,3.4,8.4,28.011,-30.6,-14.0,May 1963,Labour Party
LIB,1963,40,Netherlands,1.6,4.9,4.7,10.287,9.7,4.61,May 1963,People’s Party for Freedom and Democracy
CHR,1963,50,Netherlands,0.0,7.0,6.100000000000001,31.881999999999998,-13.3,6.13,May 1963,Catholic People’s Party
CHR,1963,50,Netherlands,0.5,1.9,4.7,8.721,2.4,6.13,May 1963,Anti-Revolutionary Party
CHR,1963,50,Netherlands,0.0,6.8,9.1,8.577,-2.4,6.13,May 1963,Christian Historical Union
SOC,1964,30,Netherlands,0.6,3.4,8.4,28.011,-30.6,-14.0,May 1963,Labour Party
LIB,1964,40,Netherlands,1.6,4.9,4.7,10.287,9.7,4.61,May 1963,People’s Party for Freedom and Democracy
CHR,1964,50,Netherlands,0.0,7.0,6.100000000000001,31.881999999999998,-13.3,6.13,May 1963,Catholic People’s Party
CHR,1964,50,Netherlands,0.5,1.9,4.7,8.721,2.4,6.13,May 1963,Anti-Revolutionary Party
CHR,1964,50,Netherlands,0.0,6.8,9.1,8.577,-2.4,6.13,May 1963,Christian Historical Union
SOC,1965,30,Netherlands,0.6,3.4,8.4,28.011,-30.6,-14.0,May 1963,Labour Party
LIB,1965,40,Netherlands,1.6,4.9,4.7,10.287,9.7,4.61,May 1963,People’s Party for Freedom and Democracy
CHR,1965,50,Netherlands,0.0,7.0,6.100000000000001,31.881999999999998,-13.3,6.13,May 1963,Catholic People’s Party
CHR,1965,50,Netherlands,0.5,1.9,4.7,8.721,2.4,6.13,May 1963,Anti-Revolutionary Party
CHR,1965,50,Netherlands,0.0,6.8,9.1,8.577,-2.4,6.13,May 1963,Christian Historical Union
SOC,1966,30,Netherlands,0.6,3.4,8.4,28.011,-30.6,-14.0,May 1963,Labour Party
LIB,1966,40,Netherlands,1.6,4.9,4.7,10.287,9.7,4.61,May 1963,People’s Party for Freedom and Democracy
CHR,1966,50,Netherlands,0.0,7.0,6.100000000000001,31.881999999999998,-13.3,6.13,May 1963,Catholic People’s Party
CHR,1966,50,Netherlands,0.5,1.9,4.7,8.721,2.4,6.13,May 1963,Anti-Revolutionary Party
CHR,1966,50,Netherlands,0.0,6.8,9.1,8.577,-2.4,6.13,May 1963,Christian Historical Union
SOC,1967,30,Netherlands,2.6,2.6,12.3,23.555,-24.6,-14.0,February 1967,Labour Party
LIB,1967,40,Netherlands,3.4,1.9,10.7,4.475000000000001,-18.3,4.61,February 1967,Democrats‘66
LIB,1967,40,Netherlands,0.9,5.8,2.9,10.732999999999999,10.3,4.61,February 1967,People’s Party for Freedom and Democracy
CHR,1967,50,Netherlands,0.6,4.5,3.2,26.503,7.2,6.13,February 1967,Catholic People’s Party
CHR,1967,50,Netherlands,1.0,2.8,6.4,9.902,-5.5,6.13,February 1967,Anti-Revolutionary Party
CHR,1967,50,Netherlands,0.8,3.2,4.0,8.142000000000001,10.4,6.13,February 1967,Christian Historical Union
SOC,1968,30,Netherlands,2.6,2.6,12.3,23.555,-24.6,-14.0,February 1967,Labour Party
LIB,1968,40,Netherlands,3.4,1.9,10.7,4.475000000000001,-18.3,4.61,February 1967,Democrats‘66
LIB,1968,40,Netherlands,0.9,5.8,2.9,10.732999999999999,10.3,4.61,February 1967,People’s Party for Freedom and Democracy
CHR,1968,50,Netherlands,0.6,4.5,3.2,26.503,7.2,6.13,February 1967,Catholic People’s Party
CHR,1968,50,Netherlands,1.0,2.8,6.4,9.902,-5.5,6.13,February 1967,Anti-Revolutionary Party
CHR,1968,50,Netherlands,0.8,3.2,4.0,8.142000000000001,10.4,6.13,February 1967,Christian Historical Union
SOC,1969,30,Netherlands,2.6,2.6,12.3,23.555,-24.6,-14.0,February 1967,Labour Party
LIB,1969,40,Netherlands,3.4,1.9,10.7,4.475000000000001,-18.3,4.61,February 1967,Democrats‘66
LIB,1969,40,Netherlands,0.9,5.8,2.9,10.732999999999999,10.3,4.61,February 1967,People’s Party for Freedom and Democracy
CHR,1969,50,Netherlands,0.6,4.5,3.2,26.503,7.2,6.13,February 1967,Catholic People’s Party
CHR,1969,50,Netherlands,1.0,2.8,6.4,9.902,-5.5,6.13,February 1967,Anti-Revolutionary Party
CHR,1969,50,Netherlands,0.8,3.2,4.0,8.142000000000001,10.4,6.13,February 1967,Christian Historical Union
SOC,1970,30,Netherlands,2.6,2.6,12.3,23.555,-24.6,-14.0,February 1967,Labour Party
LIB,1970,40,Netherlands,3.4,1.9,10.7,4.475000000000001,-18.3,4.61,February 1967,Democrats‘66
LIB,1970,40,Netherlands,0.9,5.8,2.9,10.732999999999999,10.3,4.61,February 1967,People’s Party for Freedom and Democracy
CHR,1970,50,Netherlands,0.6,4.5,3.2,26.503,7.2,6.13,February 1967,Catholic People’s Party
CHR,1970,50,Netherlands,1.0,2.8,6.4,9.902,-5.5,6.13,February 1967,Anti-Revolutionary Party
CHR,1970,50,Netherlands,0.8,3.2,4.0,8.142000000000001,10.4,6.13,February 1967,Christian Historical Union
SOC,1971,30,Netherlands,5.0,0.7000000000000001,15.7,1.837,-36.3,-14.0,April 1971,Radical Political Party
SOC,1971,30,Netherlands,4.1,5.3,7.8,24.6,-39.7,-14.0,April 1971,Labour Party
LIB,1971,40,Netherlands,12.4,3.5,4.3,6.775,-21.3,4.61,April 1971,Democrats‘66
LIB,1971,40,Netherlands,3.2,6.0,3.8,10.341,-1.8,4.61,April 1971,People’s Party for Freedom and Democracy
CHR,1971,50,Netherlands,2.2,3.8,4.600000000000001,21.837,-26.2,6.13,April 1971,Catholic People’s Party
CHR,1971,50,Netherlands,3.2,3.8,5.2,8.59,-18.1,6.13,April 1971,Anti-Revolutionary Party
CHR,1971,50,Netherlands,7.100000000000001,5.100000000000001,7.7,5.329,-12.9,6.13,April 1971,Democratic Socialists‘70
CHR,1971,50,Netherlands,3.1,6.100000000000001,2.4,6.317,-21.4,6.13,April 1971,Christian Historical Union
SOC,1972,30,Netherlands,9.2,3.1,9.3,4.7989999999999995,-44.5,-14.0,November 1972,Radical Political Party
SOC,1972,30,Netherlands,9.2,3.1,9.3,27.339000000000002,-44.5,-14.0,November 1972,Labour Party
LIB,1972,40,Netherlands,9.2,3.1,9.3,4.1530000000000005,-44.5,4.61,November 1972,Democrats‘66
LIB,1972,40,Netherlands,3.3,0.0,1.6,14.449000000000002,21.3,4.61,November 1972,People’s Party for Freedom and Democracy
CHR,1972,50,Netherlands,7.9,5.7,6.600000000000001,17.655,-14.0,6.13,November 1972,Catholic People’s Party
CHR,1972,50,Netherlands,7.9,5.7,6.600000000000001,8.84,-14.0,6.13,November 1972,Anti-Revolutionary Party
CHR,1972,50,Netherlands,5.600000000000001,4.8,3.1,4.121,-12.9,6.13,November 1972,Democratic Socialists‘70
CHR,1972,50,Netherlands,7.9,5.7,6.600000000000001,4.794,-14.0,6.13,November 1972,Christian Historical Union
SOC,1973,30,Netherlands,9.2,3.1,9.3,4.7989999999999995,-44.5,-14.0,November 1972,Radical Political Party
SOC,1973,30,Netherlands,9.2,3.1,9.3,27.339000000000002,-44.5,-14.0,November 1972,Labour Party
LIB,1973,40,Netherlands,9.2,3.1,9.3,4.1530000000000005,-44.5,4.61,November 1972,Democrats‘66
LIB,1973,40,Netherlands,3.3,0.0,1.6,14.449000000000002,21.3,4.61,November 1972,People’s Party for Freedom and Democracy
CHR,1973,50,Netherlands,7.9,5.7,6.600000000000001,17.655,-14.0,6.13,November 1972,Catholic People’s Party
CHR,1973,50,Netherlands,7.9,5.7,6.600000000000001,8.84,-14.0,6.13,November 1972,Anti-Revolutionary Party
CHR,1973,50,Netherlands,5.600000000000001,4.8,3.1,4.121,-12.9,6.13,November 1972,Democratic Socialists‘70
CHR,1973,50,Netherlands,7.9,5.7,6.600000000000001,4.794,-14.0,6.13,November 1972,Christian Historical Union
SOC,1974,30,Netherlands,9.2,3.1,9.3,4.7989999999999995,-44.5,-14.0,November 1972,Radical Political Party
SOC,1974,30,Netherlands,9.2,3.1,9.3,27.339000000000002,-44.5,-14.0,November 1972,Labour Party
LIB,1974,40,Netherlands,9.2,3.1,9.3,4.1530000000000005,-44.5,4.61,November 1972,Democrats‘66
LIB,1974,40,Netherlands,3.3,0.0,1.6,14.449000000000002,21.3,4.61,November 1972,People’s Party for Freedom and Democracy
CHR,1974,50,Netherlands,7.9,5.7,6.600000000000001,17.655,-14.0,6.13,November 1972,Catholic People’s Party
CHR,1974,50,Netherlands,7.9,5.7,6.600000000000001,8.84,-14.0,6.13,November 1972,Anti-Revolutionary Party
CHR,1974,50,Netherlands,5.600000000000001,4.8,3.1,4.121,-12.9,6.13,November 1972,Democratic Socialists‘70
CHR,1974,50,Netherlands,7.9,5.7,6.600000000000001,4.794,-14.0,6.13,November 1972,Christian Historical Union
SOC,1975,30,Netherlands,9.2,3.1,9.3,4.7989999999999995,-44.5,-14.0,November 1972,Radical Political Party
SOC,1975,30,Netherlands,9.2,3.1,9.3,27.339000000000002,-44.5,-14.0,November 1972,Labour Party
LIB,1975,40,Netherlands,9.2,3.1,9.3,4.1530000000000005,-44.5,4.61,November 1972,Democrats‘66
LIB,1975,40,Netherlands,3.3,0.0,1.6,14.449000000000002,21.3,4.61,November 1972,People’s Party for Freedom and Democracy
CHR,1975,50,Netherlands,7.9,5.7,6.600000000000001,17.655,-14.0,6.13,November 1972,Catholic People’s Party
CHR,1975,50,Netherlands,7.9,5.7,6.600000000000001,8.84,-14.0,6.13,November 1972,Anti-Revolutionary Party
CHR,1975,50,Netherlands,5.600000000000001,4.8,3.1,4.121,-12.9,6.13,November 1972,Democratic Socialists‘70
CHR,1975,50,Netherlands,7.9,5.7,6.600000000000001,4.794,-14.0,6.13,November 1972,Christian Historical Union
SOC,1976,30,Netherlands,9.2,3.1,9.3,4.7989999999999995,-44.5,-14.0,November 1972,Radical Political Party
SOC,1976,30,Netherlands,9.2,3.1,9.3,27.339000000000002,-44.5,-14.0,November 1972,Labour Party
LIB,1976,40,Netherlands,9.2,3.1,9.3,4.1530000000000005,-44.5,4.61,November 1972,Democrats‘66
LIB,1976,40,Netherlands,3.3,0.0,1.6,14.449000000000002,21.3,4.61,November 1972,People’s Party for Freedom and Democracy
CHR,1976,50,Netherlands,7.9,5.7,6.600000000000001,17.655,-14.0,6.13,November 1972,Catholic People’s Party
CHR,1976,50,Netherlands,7.9,5.7,6.600000000000001,8.84,-14.0,6.13,November 1972,Anti-Revolutionary Party
CHR,1976,50,Netherlands,5.600000000000001,4.8,3.1,4.121,-12.9,6.13,November 1972,Democratic Socialists‘70
CHR,1976,50,Netherlands,7.9,5.7,6.600000000000001,4.794,-14.0,6.13,November 1972,Christian Historical Union
SOC,1977,30,Netherlands,13.5,2.3,6.5,1.694,-42.4,-14.0,May 1977,Radical Political Party
SOC,1977,30,Netherlands,6.100000000000001,2.2,11.5,33.829,-45.6,-14.0,May 1977,Labour Party
LIB,1977,40,Netherlands,7.100000000000001,0.0,5.0,5.439,-26.6,4.61,May 1977,Democrats‘66
LIB,1977,40,Netherlands,3.1,3.1,2.7,17.945999999999994,13.4,4.61,May 1977,People’s Party for Freedom and Democracy
CHR,1977,50,Netherlands,5.8,2.6,3.3,31.886999999999997,-11.6,6.13,May 1977,Christian Democratic Appeal
CHR,1977,50,Netherlands,9.2,4.4,4.0,0.715,-13.6,6.13,May 1977,Democratic Socialists‘70
SOC,1978,30,Netherlands,13.5,2.3,6.5,1.694,-42.4,-14.0,May 1977,Radical Political Party
SOC,1978,30,Netherlands,6.100000000000001,2.2,11.5,33.829,-45.6,-14.0,May 1977,Labour Party
LIB,1978,40,Netherlands,7.100000000000001,0.0,5.0,5.439,-26.6,4.61,May 1977,Democrats‘66
LIB,1978,40,Netherlands,3.1,3.1,2.7,17.945999999999994,13.4,4.61,May 1977,People’s Party for Freedom and Democracy
CHR,1978,50,Netherlands,5.8,2.6,3.3,31.886999999999997,-11.6,6.13,May 1977,Christian Democratic Appeal
CHR,1978,50,Netherlands,9.2,4.4,4.0,0.715,-13.6,6.13,May 1977,Democratic Socialists‘70
SOC,1979,30,Netherlands,13.5,2.3,6.5,1.694,-42.4,-14.0,May 1977,Radical Political Party
SOC,1979,30,Netherlands,6.100000000000001,2.2,11.5,33.829,-45.6,-14.0,May 1977,Labour Party
LIB,1979,40,Netherlands,7.100000000000001,0.0,5.0,5.439,-26.6,4.61,May 1977,Democrats‘66
LIB,1979,40,Netherlands,3.1,3.1,2.7,17.945999999999994,13.4,4.61,May 1977,People’s Party for Freedom and Democracy
CHR,1979,50,Netherlands,5.8,2.6,3.3,31.886999999999997,-11.6,6.13,May 1977,Christian Democratic Appeal
CHR,1979,50,Netherlands,9.2,4.4,4.0,0.715,-13.6,6.13,May 1977,Democratic Socialists‘70
SOC,1980,30,Netherlands,13.5,2.3,6.5,1.694,-42.4,-14.0,May 1977,Radical Political Party
SOC,1980,30,Netherlands,6.100000000000001,2.2,11.5,33.829,-45.6,-14.0,May 1977,Labour Party
LIB,1980,40,Netherlands,7.100000000000001,0.0,5.0,5.439,-26.6,4.61,May 1977,Democrats‘66
LIB,1980,40,Netherlands,3.1,3.1,2.7,17.945999999999994,13.4,4.61,May 1977,People’s Party for Freedom and Democracy
CHR,1980,50,Netherlands,5.8,2.6,3.3,31.886999999999997,-11.6,6.13,May 1977,Christian Democratic Appeal
CHR,1980,50,Netherlands,9.2,4.4,4.0,0.715,-13.6,6.13,May 1977,Democratic Socialists‘70
SOC,1981,30,Netherlands,7.7,1.15,9.6,1.9680000000000002,-25.2,-14.0,May 1981,Radical Political Party
SOC,1981,30,Netherlands,5.100000000000001,3.4,7.100000000000001,28.288,-28.6,-14.0,May 1981,Labour Party
LIB,1981,40,Netherlands,8.3,5.100000000000001,5.600000000000001,11.059000000000001,-22.1,4.61,May 1981,Democrats‘66
LIB,1981,40,Netherlands,4.0,2.9,3.4,17.320999999999998,7.600000000000001,4.61,May 1981,People’s Party for Freedom and Democracy
CHR,1981,50,Netherlands,5.100000000000001,3.1,4.0,30.805999999999997,-19.3,6.13,May 1981,Christian Democratic Appeal
CHR,1981,50,Netherlands,5.081,2.079,0.6930000000000001,1.247,37.644,6.13,May 1981,Reformatory Political Federation
LEF,1982,20,Netherlands,5.652,3.261,21.522,1.794,-24.783,-23.66,September 1982,Communist Party of the Netherlands
SOC,1982,30,Netherlands,1.9,0.0,12.7,1.6569999999999998,-8.0,-14.0,September 1982,Radical Political Party
SOC,1982,30,Netherlands,2.4,2.6,13.2,30.395,-20.7,-14.0,September 1982,Labour Party
LIB,1982,40,Netherlands,6.9,4.5,7.4,4.265,-12.6,4.61,September 1982,Democrats‘66
LIB,1982,40,Netherlands,2.5,1.3,5.100000000000001,23.076999999999998,21.0,4.61,September 1982,People’s Party for Freedom and Democracy
CHR,1982,50,Netherlands,7.100000000000001,2.2,5.4,29.386999999999997,-11.7,6.13,September 1982,Christian Democratic Appeal
CHR,1982,50,Netherlands,4.121,1.844,1.6269999999999998,0.8150000000000001,24.62,6.13,September 1982,Reformed Political League
CHR,1982,50,Netherlands,5.081,2.079,0.6930000000000001,1.508,37.644,6.13,September 1982,Reformatory Political Federation
NAT,1982,70,Netherlands,8.163,5.102,5.102,0.8310000000000001,-4.8469999999999995,10.25,September 1982,Centre Party
SIP,1982,95,Netherlands,2.517,0.795,3.576,1.902,29.801,3.36,September 1982,Reformed Political Party
LEF,1983,20,Netherlands,5.652,3.261,21.522,1.794,-24.783,-23.66,September 1982,Communist Party of the Netherlands
SOC,1983,30,Netherlands,1.9,0.0,12.7,1.6569999999999998,-8.0,-14.0,September 1982,Radical Political Party
SOC,1983,30,Netherlands,2.4,2.6,13.2,30.395,-20.7,-14.0,September 1982,Labour Party
LIB,1983,40,Netherlands,6.9,4.5,7.4,4.265,-12.6,4.61,September 1982,Democrats‘66
LIB,1983,40,Netherlands,2.5,1.3,5.100000000000001,23.076999999999998,21.0,4.61,September 1982,People’s Party for Freedom and Democracy
CHR,1983,50,Netherlands,7.100000000000001,2.2,5.4,29.386999999999997,-11.7,6.13,September 1982,Christian Democratic Appeal
CHR,1983,50,Netherlands,4.121,1.844,1.6269999999999998,0.8150000000000001,24.62,6.13,September 1982,Reformed Political League
CHR,1983,50,Netherlands,5.081,2.079,0.6930000000000001,1.508,37.644,6.13,September 1982,Reformatory Political Federation
NAT,1983,70,Netherlands,8.163,5.102,5.102,0.8310000000000001,-4.8469999999999995,10.25,September 1982,Centre Party
SIP,1983,95,Netherlands,2.517,0.795,3.576,1.902,29.801,3.36,September 1982,Reformed Political Party
