year,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1968-01-01,60,Sweden,0.0,0.0,2.9,12.859000000000002,25.8,September 1968,Right Party
1968-01-01,80,Sweden,4.2,1.9,5.600000000000001,15.679,-11.6,September 1968,Centre Party
1970-01-01,20,Sweden,11.5,2.6,12.8,4.756,-40.9,September 1970,Left Communists Party
1970-01-01,30,Sweden,7.100000000000001,0.5,16.8,45.343,-41.2,September 1970,Social Democratic Labour Party
1970-01-01,40,Sweden,8.9,0.0,8.9,16.211,-33.5,September 1970,People’s Party
1970-01-01,60,Sweden,2.1,0.0,6.4,11.530999999999999,10.8,September 1970,Moderate Coalition Party
1970-01-01,80,Sweden,5.2,0.0,6.3,19.919,-14.6,September 1970,Centre Party
1973-01-01,20,Sweden,9.9,0.0,2.5,5.327999999999999,-43.0,September 1973,Left Communists Party
1973-01-01,30,Sweden,0.0,0.0,10.3,43.559,-7.7,September 1973,Social Democratic Labour Party
1973-01-01,40,Sweden,12.1,0.0,6.0,9.419,-11.5,September 1973,People’s Party
1973-01-01,60,Sweden,6.600000000000001,0.0,10.5,14.294,19.7,September 1973,Moderate Coalition Party
1973-01-01,80,Sweden,6.9,0.6,5.2,25.101,-24.0,September 1973,Centre Party
1976-01-01,20,Sweden,11.9,1.6,10.8,4.753,-38.3,September 1976,Left Communists Party
1976-01-01,30,Sweden,4.3,0.0,5.7,42.748999999999995,-11.5,September 1976,Social Democratic Labour Party
1976-01-01,40,Sweden,11.2,4.2,3.5,11.062999999999999,-2.1,September 1976,People’s Party
1976-01-01,60,Sweden,1.0,4.9,2.9,15.589,2.2,September 1976,Moderate Coalition Party
1976-01-01,80,Sweden,17.2,0.7000000000000001,5.100000000000001,24.085,-18.2,September 1976,Centre Party
1979-01-01,20,Sweden,7.4,0.8,14.4,5.605,-47.3,September 1979,Left Communists Party
1979-01-01,30,Sweden,7.3,0.0,7.3,43.244,-15.3,September 1979,Social Democratic Labour Party
1979-01-01,40,Sweden,12.5,0.9,7.600000000000001,10.591,-15.2,September 1979,People’s Party
1979-01-01,60,Sweden,12.7,4.8,4.8,20.343,23.1,September 1979,Moderate Coalition Party
1979-01-01,80,Sweden,14.3,3.2,4.600000000000001,18.07,-8.1,September 1979,Centre Party
1982-01-01,20,Sweden,10.6,0.0,13.5,5.561,-39.7,September 1982,Left Communists Party
1982-01-01,30,Sweden,12.9,0.0,7.3,45.606,-18.5,September 1982,Social Democratic Labour Party
1982-01-01,40,Sweden,2.4,1.6,13.0,5.901,4.8,September 1982,People’s Party
1982-01-01,60,Sweden,3.6,2.9,0.7000000000000001,23.644000000000002,25.1,September 1982,Moderate Coalition Party
1982-01-01,80,Sweden,14.6,0.9,2.3,15.475999999999999,-14.0,September 1982,Centre Party
1985-01-01,20,Sweden,13.1,0.4,13.6,5.36,-36.7,September 1985,Left Communists Party
1985-01-01,30,Sweden,9.9,2.5,0.0,44.684,-21.1,September 1985,Social Democratic Labour Party
1985-01-01,40,Sweden,6.5,4.0,3.5,14.231,12.9,September 1985,People’s Party
1985-01-01,50,Sweden,11.364,4.545,6.818000000000001,0.28,-4.545,September 1985,Christian Democratic Coalition
1985-01-01,60,Sweden,4.8,1.9,0.0,21.328000000000003,59.8,September 1985,Moderate Coalition Party
1985-01-01,80,Sweden,15.5,1.2,3.0,12.13,-1.1,September 1985,Centre Party
1988-01-01,10,Sweden,38.0,0.0,1.4,5.526,-18.4,September 1988,Green Ecology Party
1988-01-01,20,Sweden,12.2,6.600000000000001,6.100000000000001,5.843999999999999,-37.4,September 1988,Left Communists Party
1988-01-01,30,Sweden,15.9,9.5,15.9,43.207,-23.9,September 1988,Social Democratic Labour Party
1988-01-01,40,Sweden,9.7,5.7,1.0,12.202,-7.7,September 1988,People’s Party
1988-01-01,60,Sweden,8.2,1.6,0.0,18.297,36.7,September 1988,Moderate Coalition Party
1988-01-01,80,Sweden,26.0,5.2,9.4,11.3,-5.3,September 1988,Centre Party
1991-01-01,10,Sweden,37.931,2.299,4.598,3.383,-12.644,September 1991,Green Ecology Party
1991-01-01,20,Sweden,15.942,1.449,7.971,4.513,-42.754,September 1991,Left Party
1991-01-01,30,Sweden,11.538,0.0,15.385,37.705,-6.154,September 1991,Social Democratic Labour Party
1991-01-01,40,Sweden,4.2860000000000005,0.35700000000000004,7.857,9.128,3.929,September 1991,Liberal People’s Party
1991-01-01,50,Sweden,11.364,4.545,6.818000000000001,7.135,-4.545,September 1991,Christian Democratic Community Party
1991-01-01,60,Sweden,3.6460000000000004,1.5630000000000002,2.6039999999999996,21.924,43.75,September 1991,Moderate Coalition Party
1991-01-01,80,Sweden,22.480999999999998,1.55,11.628,8.503,5.426,September 1991,Centre Party
1991-01-01,95,Sweden,3.597,0.0,2.5180000000000002,6.732,42.806000000000004,September 1991,New Democracy
1994-01-01,10,Sweden,33.75,0.0,16.25,5.023,-6.25,September 1994,Green Ecology Party
1994-01-01,20,Sweden,13.068,2.273,21.023000000000003,6.1739999999999995,-27.273000000000003,September 1994,Left Party
1994-01-01,30,Sweden,1.942,0.0,11.165,45.25,23.785999999999998,September 1994,Social Democratic Labour Party
1994-01-01,40,Sweden,3.6460000000000004,1.042,26.563000000000002,7.192,19.271,September 1994,Liberal People’s Party
1994-01-01,50,Sweden,11.628,4.651,23.256,4.068000000000001,13.953,September 1994,Christian Democratic Community Party
1994-01-01,60,Sweden,3.5180000000000002,1.005,1.508,22.38,40.201,September 1994,Moderate Coalition Party
1994-01-01,80,Sweden,21.818,0.0,18.182000000000002,7.653,21.818,September 1994,Centre Party
1998-01-01,10,Sweden,30.555999999999997,2.778,8.333,4.5,-36.111,September 1998,Green Ecology Party
1998-01-01,20,Sweden,15.71,1.511,14.199000000000002,11.99,-35.952,September 1998,Left Party
1998-01-01,30,Sweden,1.953,1.172,10.937999999999999,36.39,-3.516,September 1998,Social Democratic Labour Party
1998-01-01,40,Sweden,5.952000000000001,0.0,7.143,4.72,14.286,September 1998,Liberal People’s Party
1998-01-01,50,Sweden,10.777999999999999,0.0,7.784,11.77,4.79,September 1998,Christian Democrats
1998-01-01,60,Sweden,2.9939999999999998,10.777999999999999,4.79,22.9,37.425,September 1998,Moderate Coalition Party
1998-01-01,80,Sweden,11.57,0.413,8.264,5.13,11.57,September 1998,Centre Party
2002-01-01,10,Sweden,27.95,2.484,11.18,4.646,-26.087,September 2002,Green Ecology Party
2002-01-01,20,Sweden,9.828,1.72,15.232999999999999,8.388,-33.661,September 2002,Left Party
2002-01-01,30,Sweden,5.127999999999999,8.425,5.861000000000001,39.854,-18.315,September 2002,Social Democratic Labour Party
2002-01-01,40,Sweden,8.392,4.428999999999999,5.593999999999999,13.394,0.932,September 2002,Liberal People’s Party
2002-01-01,50,Sweden,10.542,0.301,4.819,9.15,6.325,September 2002,Christian Democrats
2002-01-01,60,Sweden,2.364,0.0,7.329,15.255999999999998,38.061,September 2002,Moderate Coalition Party
2002-01-01,80,Sweden,9.886,1.521,3.802,6.193000000000001,10.645999999999999,September 2002,Centre Party
2006-01-01,10,Sweden,17.172,3.535,13.130999999999998,5.244,-11.616,September 2006,Green Ecology Party
2006-01-01,20,Sweden,5.398,0.7709999999999999,13.110999999999999,5.850000000000001,-35.99,September 2006,Left Party
2006-01-01,30,Sweden,5.0889999999999995,3.3080000000000003,5.852,34.994,-24.173000000000002,September 2006,Social Democratic Labour Party
2006-01-01,40,Sweden,4.463,2.975,5.785,7.537000000000001,14.545,September 2006,Liberal People’s Party
2006-01-01,50,Sweden,7.257999999999999,0.0,5.645,6.593,0.8059999999999999,September 2006,Christian Democrats
2006-01-01,60,Sweden,6.76,0.466,3.73,26.23,3.963,September 2006,Moderate Coalition Party
2006-01-01,80,Sweden,14.013,0.0,4.777,7.879,-4.459000000000001,September 2006,Centre Party
2010-01-01,10,Sweden,23.281999999999996,3.053,7.6339999999999995,7.34,-9.16,September 2010,Green Ecology Party
2010-01-01,20,Sweden,12.205,0.787,16.535,5.600000000000001,-12.205,September 2010,Left Party
2010-01-01,30,Sweden,0.7090000000000001,1.7730000000000001,14.184000000000001,30.66,-32.27,September 2010,Social Democratic Labour Party
2010-01-01,40,Sweden,8.297,4.367,2.948,7.06,-4.803,September 2010,Liberal People’s Party
2010-01-01,50,Sweden,4.593,6.888999999999999,6.053999999999999,5.600000000000001,8.142,September 2010,Christian Democrats
2010-01-01,60,Sweden,10.179,0.053,6.3820000000000014,30.06,2.479,September 2010,Moderate Coalition Party
2010-01-01,70,Sweden,5.392,0.0,1.4709999999999999,5.7,15.686,September 2010,Sweden Democrats
2010-01-01,80,Sweden,22.925,0.395,5.402,6.56,-2.24,September 2010,Centre Party
2014-01-01,10,Sweden,14.085,5.03,7.042000000000001,6.888999999999999,-26.156999999999996,September 2014,Green Ecology Party
2014-01-01,20,Sweden,8.056000000000001,3.611,15.833,5.718,-33.889,September 2014,Left Party
2014-01-01,30,Sweden,5.341,0.368,6.446000000000001,31.015,-52.67,September 2014,Social Democratic Labour Party
2014-01-01,40,Sweden,8.486,5.962999999999999,5.505,5.42,-2.523,September 2014,Liberal People’s Party
2014-01-01,50,Sweden,6.17,0.257,7.1979999999999995,4.57,4.8839999999999995,September 2014,Christian Democrats
2014-01-01,60,Sweden,8.252,1.956,4.523,23.325,-16.748,September 2014,Moderate Coalition Party
2014-01-01,70,Sweden,5.38,2.215,3.7969999999999997,12.857000000000001,-6.646,September 2014,Sweden Democrats
2014-01-01,80,Sweden,30.263,0.0,2.6319999999999997,6.1129999999999995,7.895,September 2014,Centre Party
2018-01-01,10,Sweden,25.21,4.706,7.731,4.414,-15.966,September 2018,Green Ecology Party
2018-01-01,20,Sweden,5.64,3.201,20.122,8.005,-40.701,September 2018,Left Party
2018-01-01,30,Sweden,6.129,3.548,6.129,28.261,-20.0,September 2018,Social Democratic Labour Party
2018-01-01,40,Sweden,7.68,2.9410000000000003,7.353,5.49,-1.1440000000000001,September 2018,Liberals
2018-01-01,50,Sweden,0.0,0.0,0.0,6.322,-12.712,September 2018,Christian Democrats
2018-01-01,60,Sweden,8.06,2.687,4.776,19.836,7.562,September 2018,Moderate Coalition Party
2018-01-01,70,Sweden,4.428999999999999,3.963,4.196000000000001,17.534000000000002,-9.091,September 2018,Sweden Democrats
2018-01-01,80,Sweden,15.618,0.0,8.026,8.608,9.978,September 2018,Centre Party
1945-01-01,20,Denmark,0.0,0.0,8.6,12.455,-21.2,October 1945,Danish Communist Party
1945-01-01,30,Denmark,0.0,2.1,10.4,32.782,-23.0,October 1945,Social Democratic Party
1945-01-01,40,Denmark,0.0,0.0,7.8,8.152999999999999,-15.7,October 1945,Danish Social-Liberal Party
1945-01-01,40,Denmark,0.0,0.0,1.6,23.383000000000003,16.4,October 1945,Liberals
1945-01-01,60,Denmark,0.0,0.0,0.8,18.236,-0.2,October 1945,Conservative People’s Party
1945-01-01,95,Denmark,0.0,0.0,3.4,1.8769999999999998,6.8,October 1945,Justice Party
1945-01-01,95,Denmark,0.0,0.0,2.206,3.111,-13.970999999999998,October 1945,Danish Union
1947-01-01,20,Denmark,0.0,0.0,12.3,6.77,-10.6,October 1947,Danish Communist Party
1947-01-01,30,Denmark,0.0,0.0,6.5,40.021,-10.8,October 1947,Social Democratic Party
1947-01-01,40,Denmark,0.0,0.0,7.7,6.919,-2.5,October 1947,Danish Social-Liberal Party
1947-01-01,40,Denmark,0.0,0.0,1.6,27.584,3.3,October 1947,Liberals
1947-01-01,60,Denmark,0.0,0.0,3.8,12.443,19.3,October 1947,Conservative People’s Party
1947-01-01,95,Denmark,0.0,0.0,0.8,4.538,25.5,October 1947,Justice Party
1950-01-01,20,Denmark,0.0,0.0,3.6,4.601,-26.9,September 1950,Danish Communist Party
1950-01-01,30,Denmark,0.0,0.0,7.7,39.586,-9.2,September 1950,Social Democratic Party
1950-01-01,40,Denmark,0.0,0.0,0.0,8.176,0.0,September 1950,Danish Social-Liberal Party
1950-01-01,40,Denmark,0.0,0.0,2.5,21.33,20.0,September 1950,Liberals
1950-01-01,60,Denmark,0.0,0.0,4.8,17.779,38.2,September 1950,Conservative People’s Party
1950-01-01,95,Denmark,0.0,0.0,1.9,8.216,10.9,September 1950,Justice Party
1953-01-01,20,Denmark,0.0,0.0,5.3,4.7780000000000005,-15.8,April 1953,Danish Communist Party
1953-01-01,30,Denmark,0.0,0.0,8.6,40.393,-7.3,April 1953,Social Democratic Party
1953-01-01,40,Denmark,0.0,0.0,0.0,8.641,-5.100000000000001,April 1953,Danish Social-Liberal Party
1953-01-01,40,Denmark,0.0,0.0,2.9,22.063000000000002,5.8,April 1953,Liberals
1953-01-01,60,Denmark,0.0,0.0,0.9,17.312,5.4,April 1953,Conservative People’s Party
1953-01-01,95,Denmark,0.0,0.0,1.8,5.615,19.7,April 1953,Justice Party
1953-01-01,20,Denmark,0.0,0.0,0.0,4.331,-15.254000000000001,September 1953,Danish Communist Party
1953-01-01,30,Denmark,0.0,1.0,6.8,41.309,-6.8,September 1953,Social Democratic Party
1953-01-01,40,Denmark,0.0,0.0,9.9,7.815,-5.5,September 1953,Danish Social-Liberal Party
1953-01-01,40,Denmark,0.0,0.0,2.1,23.064,14.9,September 1953,Liberals
1953-01-01,40,Denmark,0.0,0.0,0.0,2.7039999999999997,41.667,September 1953,Independents’ Party
1953-01-01,60,Denmark,0.0,1.5,4.600000000000001,16.846,16.7,September 1953,Conservative People’s Party
1953-01-01,95,Denmark,0.0,0.0,3.6,3.483,23.2,September 1953,Justice Party
1957-01-01,20,Denmark,0.0,1.0,6.7,3.13,-41.8,May 1957,Danish Communist Party
1957-01-01,30,Denmark,0.0,0.0,11.4,39.398,-28.5,May 1957,Social Democratic Party
1957-01-01,40,Denmark,0.0,0.0,0.0,7.784,0.1,May 1957,Danish Social-Liberal Party
1957-01-01,40,Denmark,0.0,0.0,1.5,25.06,32.3,May 1957,Liberals
1957-01-01,40,Denmark,0.0,0.0,2.8369999999999997,2.2969999999999997,9.22,May 1957,Independents’ Party
1957-01-01,60,Denmark,0.0,0.0,0.0,16.615,39.0,May 1957,Conservative People’s Party
1957-01-01,95,Denmark,0.0,0.0,0.0,5.314,15.9,May 1957,Justice Party
1960-01-01,20,Denmark,0.0,0.8,9.8,1.122,-43.2,November 1960,Danish Communist Party
1960-01-01,20,Denmark,0.0,0.0,4.0,6.145,-68.1,November 1960,Socialist People’s Party
1960-01-01,30,Denmark,1.3,5.2,9.7,42.098,-31.8,November 1960,Social Democratic Party
1960-01-01,40,Denmark,0.0,1.5,3.0,5.797000000000001,-12.0,November 1960,Danish Social-Liberal Party
1960-01-01,40,Denmark,0.0,0.0,3.5,21.055,22.9,November 1960,Liberals
1960-01-01,40,Denmark,0.0,0.0,11.905,3.3360000000000003,53.571000000000005,November 1960,Independents’ Party
1960-01-01,60,Denmark,0.0,0.0,5.5,17.918,59.3,November 1960,Conservative People’s Party
1960-01-01,95,Denmark,0.0,0.0,14.6,2.1519999999999997,-6.3,November 1960,Justice Party
1964-01-01,20,Denmark,0.0,1.3,2.6,1.2309999999999999,-24.9,September 1964,Danish Communist Party
1964-01-01,20,Denmark,0.0,0.0,7.0,5.765,-30.1,September 1964,Socialist People’s Party
1964-01-01,30,Denmark,0.0,5.4,4.3,41.942,-19.7,September 1964,Social Democratic Party
1964-01-01,40,Denmark,0.0,1.1,5.5,5.309,-13.2,September 1964,Danish Social-Liberal Party
1964-01-01,40,Denmark,0.0,0.0,4.4,20.816999999999997,6.7,September 1964,Liberals
1964-01-01,40,Denmark,0.0,1.5630000000000002,4.688,2.499,37.5,September 1964,Independents’ Party
1964-01-01,60,Denmark,1.2,0.0,3.7,20.058,18.4,September 1964,Conservative People’s Party
1964-01-01,95,Denmark,0.0,0.0,3.8,1.3019999999999998,15.3,September 1964,Justice Party
1966-01-01,20,Denmark,0.0,0.0,3.1,0.7709999999999999,-43.7,November 1966,Danish Communist Party
1966-01-01,20,Denmark,0.0,0.0,9.7,10.895999999999999,-25.2,November 1966,Socialist People’s Party
1966-01-01,30,Denmark,0.0,0.7000000000000001,6.600000000000001,38.257,-4.0,November 1966,Social Democratic Party
1966-01-01,40,Denmark,0.0,0.0,5.8,7.296,-15.4,November 1966,Danish Social-Liberal Party
1966-01-01,40,Denmark,0.0,0.0,7.3,19.292,12.7,November 1966,Liberals
1966-01-01,40,Denmark,0.0,0.9009999999999999,0.0,1.61,23.423000000000002,November 1966,Independents’ Party
1966-01-01,40,Denmark,0.541,3.784,3.784,2.476,-1.081,November 1966,Liberal Centre
1966-01-01,60,Denmark,0.0,0.0,0.0,18.684,35.7,November 1966,Conservative People’s Party
1966-01-01,95,Denmark,2.8569999999999998,1.429,7.143,0.7120000000000001,10.0,November 1966,Justice Party
1968-01-01,20,Denmark,1.2,2.3,16.1,2.003,-44.8,January 1968,Left Socialist Party
1968-01-01,20,Denmark,0.0,0.0,0.0,1.041,-50.0,January 1968,Danish Communist Party
1968-01-01,20,Denmark,0.5,0.0,4.600000000000001,6.115,-30.7,January 1968,Socialist People’s Party
1968-01-01,30,Denmark,0.0,0.0,1.6,34.149,-11.5,January 1968,Social Democratic Party
1968-01-01,40,Denmark,1.6,0.0,4.8,14.969000000000001,-12.8,January 1968,Danish Social-Liberal Party
1968-01-01,40,Denmark,0.0,0.0,4.7,18.572,8.700000000000001,January 1968,Liberals
1968-01-01,40,Denmark,0.0,1.3159999999999998,1.3159999999999998,0.503,34.211,January 1968,Independents’ Party
1968-01-01,40,Denmark,0.0,0.0,2.326,1.31,8.14,January 1968,Liberal Centre
1968-01-01,60,Denmark,1.1,0.0,4.3,20.355,15.0,January 1968,Conservative People’s Party
1968-01-01,95,Denmark,0.0,0.0,1.3,0.74,9.1,January 1968,Justice Party
1971-01-01,20,Denmark,0.0,0.0,0.0,1.594,-12.1,September 1971,Left Socialist Party
1971-01-01,20,Denmark,0.0,0.0,13.2,1.3719999999999999,-31.7,September 1971,Danish Communist Party
1971-01-01,20,Denmark,3.2,0.0,11.4,9.111,-28.3,September 1971,Socialist People’s Party
1971-01-01,30,Denmark,0.0,0.0,19.0,37.268,-35.7,September 1971,Social Democratic Party
1971-01-01,40,Denmark,0.0,0.0,2.7,14.342,2.7,September 1971,Danish Social-Liberal Party
1971-01-01,40,Denmark,5.600000000000001,0.0,1.4,15.635,7.0,September 1971,Liberals
1971-01-01,50,Denmark,0.0,0.0,2.0,1.979,21.7,September 1971,Christian People’s Party
1971-01-01,60,Denmark,4.8,2.9,0.0,16.69,39.1,September 1971,Conservative People’s Party
1971-01-01,95,Denmark,0.0,0.0,6.7,1.742,26.6,September 1971,Justice Party
1973-01-01,20,Denmark,0.9,0.0,0.9,1.469,-7.0,December 1973,Left Socialist Party
1973-01-01,20,Denmark,2.3,0.0,2.3,3.6260000000000003,-30.2,December 1973,Danish Communist Party
1973-01-01,20,Denmark,1.2,0.0,11.5,6.011,-18.4,December 1973,Socialist People’s Party
1973-01-01,30,Denmark,1.5,0.0,19.7,25.65,1.5,December 1973,Social Democratic Party
1973-01-01,60,Denmark,1.6,1.1,4.3,7.2,12.1,December 1973,Centre Democrats
1973-01-01,40,Denmark,4.0,0.0,8.0,11.238,-12.0,December 1973,Danish Social-Liberal Party
1973-01-01,40,Denmark,0.0,1.5,1.5,12.259,37.9,December 1973,Liberals
1973-01-01,50,Denmark,0.0,0.0,7.3,4.047,39.1,December 1973,Christian People’s Party
1973-01-01,60,Denmark,0.0,0.0,9.7,9.151,38.7,December 1973,Conservative People’s Party
1973-01-01,70,Denmark,8.6,0.0,2.5,15.894,12.2,December 1973,Progress Party
1973-01-01,95,Denmark,0.0,0.0,5.2,2.8789999999999996,10.4,December 1973,Justice Party
1975-01-01,20,Denmark,1.7,0.0,6.8,2.085,-17.0,January 1975,Left Socialist Party
1975-01-01,20,Denmark,0.0,0.0,7.3,4.192,-30.7,January 1975,Danish Communist Party
1975-01-01,20,Denmark,3.2,0.0,10.8,4.95,-22.5,January 1975,Socialist People’s Party
1975-01-01,30,Denmark,1.7,0.0,14.7,29.945,-9.5,January 1975,Social Democratic Party
1975-01-01,60,Denmark,0.0,2.0,4.0,1.63,14.0,January 1975,Centre Democrats
1975-01-01,40,Denmark,0.0,0.0,0.0,7.101,18.3,January 1975,Danish Social-Liberal Party
1975-01-01,40,Denmark,4.5,0.0,1.5,23.325,11.9,January 1975,Liberals
1975-01-01,50,Denmark,0.0,3.1,0.0,5.336,25.1,January 1975,Christian People’s Party
1975-01-01,60,Denmark,0.0,1.4,0.0,5.515,8.4,January 1975,Conservative People’s Party
1975-01-01,70,Denmark,3.3,1.2,0.8,13.583,25.0,January 1975,Progress Party
1975-01-01,95,Denmark,0.0,0.0,2.4,1.774,-2.4,January 1975,Justice Party
1977-01-01,20,Denmark,1.1,0.0,2.2,2.693,-22.2,February 1977,Left Socialist Party
1977-01-01,20,Denmark,0.0,0.0,5.4,3.6710000000000003,-23.4,February 1977,Danish Communist Party
1977-01-01,20,Denmark,1.4,0.0,10.3,3.875,-28.3,February 1977,Socialist People’s Party
1977-01-01,30,Denmark,0.0,0.0,10.6,37.033,-12.8,February 1977,Social Democratic Party
1977-01-01,60,Denmark,0.0,2.3,2.3,5.86,29.7,February 1977,Centre Democrats
1977-01-01,40,Denmark,0.0,0.0,10.6,3.648,-12.7,February 1977,Danish Social-Liberal Party
1977-01-01,40,Denmark,1.0,1.0,6.100000000000001,11.967,20.5,February 1977,Liberals
1977-01-01,50,Denmark,0.0,2.6,5.3,3.415,31.5,February 1977,Christian People’s Party
1977-01-01,60,Denmark,0.0,0.0,1.7,8.475,22.1,February 1977,Conservative People’s Party
1977-01-01,70,Denmark,0.0,0.0,2.4,14.609000000000002,8.9,February 1977,Progress Party
1977-01-01,95,Denmark,3.7,0.0,3.7,3.2880000000000003,7.5,February 1977,Justice Party
1979-01-01,20,Denmark,3.8,0.0,0.0,3.66,-26.9,October 1979,Left Socialist Party
1979-01-01,20,Denmark,0.0,0.0,2.6,1.857,-51.4,October 1979,Danish Communist Party
1979-01-01,20,Denmark,3.3,0.0,17.8,5.906000000000001,-43.2,October 1979,Socialist People’s Party
1979-01-01,30,Denmark,0.8,0.0,9.1,38.266999999999996,-11.4,October 1979,Social Democratic Party
1979-01-01,60,Denmark,0.0,0.0,0.0,3.221,51.0,October 1979,Centre Democrats
1979-01-01,40,Denmark,0.0,0.0,11.4,5.436,-11.5,October 1979,Danish Social-Liberal Party
1979-01-01,40,Denmark,0.0,0.0,8.5,12.503,51.1,October 1979,Liberals
1979-01-01,50,Denmark,1.0,0.0,9.2,2.59,32.6,October 1979,Christian People’s Party
1979-01-01,60,Denmark,0.0,0.0,0.0,12.477,35.9,October 1979,Conservative People’s Party
1979-01-01,70,Denmark,0.0,0.0,5.4,11.014000000000001,45.9,October 1979,Progress Party
1979-01-01,95,Denmark,1.3,0.0,14.9,2.625,18.3,October 1979,Justice Party
1981-01-01,20,Denmark,0.0,0.0,4.2,2.648,-25.4,December 1981,Left Socialist Party
1981-01-01,20,Denmark,0.0,0.0,0.0,1.109,-37.6,December 1981,Danish Communist Party
1981-01-01,20,Denmark,1.5,3.0,9.1,11.312999999999999,-37.3,December 1981,Socialist People’s Party
1981-01-01,30,Denmark,1.9,0.9,6.600000000000001,32.87,-5.7,December 1981,Social Democratic Party
1981-01-01,60,Denmark,0.0,0.0,0.0,8.277000000000001,42.1,December 1981,Centre Democrats
1981-01-01,40,Denmark,3.8,1.7,3.8,5.124,-1.2,December 1981,Danish Social-Liberal Party
1981-01-01,40,Denmark,0.0,1.2,3.7,11.31,23.5,December 1981,Liberals
1981-01-01,50,Denmark,1.5,0.4,3.7,2.311,15.4,December 1981,Christian People’s Party
1981-01-01,60,Denmark,0.0,0.0,0.0,14.454,51.7,December 1981,Conservative People’s Party
1981-01-01,70,Denmark,0.0,0.0,0.0,8.912000000000003,36.6,December 1981,Progress Party
1981-01-01,95,Denmark,0.0,0.0,2.9,1.446,8.700000000000001,December 1981,Justice Party
