yearIndex,partyname,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
1998,Christian Democrats,CHR,0.0,10.778,7.784,1,11.77,4.79,6.13,11.77,Sweden
1998,Green Ecology Party,ECO,2.778,30.556,8.333,1,4.5,-36.111,-13.65,4.5,Sweden
1998,Left Party,LEF,1.511,15.71,14.199000000000002,1,11.99,-35.952,-23.66,11.99,Sweden
1998,Liberal People’s Party,LIB,0.0,5.952000000000001,7.143,1,4.72,14.286,4.61,4.72,Sweden
1998,Moderate Coalition Party,CON,10.778,2.994,4.79,1,22.9,37.425,11.64,22.9,Sweden
1998,Social Democratic Labour Party,SOC,1.172,1.953,10.938,1,36.39,-3.516,-14.0,36.39,Sweden
2002,Centre Party,AGR,1.521,9.886000000000001,3.802,1,6.193000000000001,10.646,1.01,6.193000000000001,Sweden
2002,Christian Democrats,CHR,0.301,10.542,4.819,1,9.15,6.325,6.13,9.15,Sweden
2002,Green Ecology Party,ECO,2.484,27.95,11.18,1,4.646,-26.087,-13.65,4.646,Sweden
2002,Left Party,LEF,1.72,9.828,15.233,1,8.388,-33.661,-23.66,8.388,Sweden
2002,Liberal People’s Party,LIB,4.4289999999999985,8.392000000000001,5.5939999999999985,1,13.394,0.932,4.61,13.394,Sweden
2002,Moderate Coalition Party,CON,0.0,2.364,7.329,1,15.255999999999998,38.061,11.64,15.255999999999998,Sweden
2002,Social Democratic Labour Party,SOC,8.425,5.127999999999999,5.8610000000000015,1,39.854,-18.315,-14.0,39.854,Sweden
2006,Centre Party,AGR,0.0,14.013,4.777,1,7.879,-4.459000000000001,1.01,7.879,Sweden
2006,Christian Democrats,CHR,0.0,7.257999999999999,5.645,1,6.593,0.8059999999999999,6.13,6.593,Sweden
2006,Green Ecology Party,ECO,3.535,17.172,13.130999999999998,1,5.244,-11.616,-13.65,5.244,Sweden
2006,Left Party,LEF,0.7709999999999999,5.398,13.111,1,5.850000000000001,-35.99,-23.66,5.850000000000001,Sweden
2006,Liberal People’s Party,LIB,2.975,4.463,5.785,1,7.537000000000001,14.545,4.61,7.537000000000001,Sweden
2006,Moderate Coalition Party,CON,0.466,6.76,3.73,1,26.23,3.963,11.64,26.23,Sweden
2006,Social Democratic Labour Party,SOC,3.3080000000000003,5.089,5.852,1,34.994,-24.173,-14.0,34.994,Sweden
2010,Centre Party,AGR,0.395,22.925,5.402,1,6.56,-2.24,1.01,6.56,Sweden
2010,Christian Democrats,CHR,6.8889999999999985,4.593,6.0539999999999985,1,5.600000000000001,8.142000000000001,6.13,5.600000000000001,Sweden
2010,Green Ecology Party,ECO,3.053,23.282,7.633999999999999,1,7.34,-9.16,-13.65,7.34,Sweden
2010,Left Party,LEF,0.787,12.205,16.535,1,5.600000000000001,-12.205,-23.66,5.600000000000001,Sweden
2010,Liberal People’s Party,LIB,4.367,8.297,2.948,1,7.06,-4.803,4.61,7.06,Sweden
2010,Moderate Coalition Party,CON,0.053,10.179,6.3820000000000014,1,30.06,2.479,11.64,30.06,Sweden
2010,Social Democratic Labour Party,SOC,1.773,0.7090000000000001,14.184,1,30.66,-32.27,-14.0,30.66,Sweden
2010,Sweden Democrats,NAT,0.0,5.392,1.471,1,5.7,15.686,10.25,5.7,Sweden
2014,Centre Party,AGR,0.0,30.263,2.632,1,6.113,7.895,1.01,6.113,Sweden
2014,Christian Democrats,CHR,0.257,6.17,7.198,1,4.57,4.884,6.13,4.57,Sweden
2014,Green Ecology Party,ECO,5.03,14.085,7.042000000000002,1,6.8889999999999985,-26.157,-13.65,6.8889999999999985,Sweden
2014,Left Party,LEF,3.611,8.056000000000001,15.833,1,5.718,-33.889,-23.66,5.718,Sweden
2014,Liberal People’s Party,LIB,5.962999999999999,8.486,5.505,1,5.42,-2.523,4.61,5.42,Sweden
2014,Moderate Coalition Party,CON,1.956,8.252,4.523,1,23.325,-16.748,11.64,23.325,Sweden
2014,Social Democratic Labour Party,SOC,0.368,5.341,6.4460000000000015,1,31.015,-52.67,-14.0,31.015,Sweden
2014,Sweden Democrats,NAT,2.215,5.38,3.797,1,12.857,-6.646,10.25,12.857,Sweden
2018,Centre Party,AGR,0.0,15.618,8.026,1,8.607999999999999,9.978,1.01,8.607999999999999,Sweden
2018,Christian Democrats,CHR,0.0,0.0,0.0,1,6.322,-12.712,6.13,6.322,Sweden
2018,Green Ecology Party,ECO,4.706,25.21,7.731,1,4.414,-15.966,-13.65,4.414,Sweden
2018,Left Party,LEF,3.201,5.64,20.122,1,8.005,-40.701,-23.66,8.005,Sweden
2018,Liberals,LIB,2.9410000000000003,7.68,7.353,1,5.49,-1.144,4.61,5.49,Sweden
2018,Moderate Coalition Party,CON,2.687,8.06,4.776,1,19.836,7.562,11.64,19.836,Sweden
2018,Social Democratic Labour Party,SOC,3.548,6.129,6.129,1,28.261,-20.0,-14.0,28.261,Sweden
2018,Sweden Democrats,NAT,3.963,4.4289999999999985,4.1960000000000015,1,17.534000000000002,-9.091000000000001,10.25,17.534000000000002,Sweden
