,partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
48,Christian Union,2010,CHR,1.3559999999999999,5.755,4.435,1,3.248,18.878,6.13,3.248,Netherlands
49,Christian Union,2012,CHR,1.072,5.619,2.255,1,3.1260000000000003,10.203,6.13,3.1260000000000003,Netherlands
50,Christian Union,2017,CHR,2.548,5.095,3.992,1,3.388,5.475000000000001,6.13,3.388,Netherlands
51,Communist Party of the Netherlands,1946,LEF,4.0,0.8,4.0,1,10.6,-34.4,-23.66,10.6,Netherlands
52,Communist Party of the Netherlands,1948,LEF,3.947,0.0,13.158,1,7.744,-31.579,-23.66,7.744,Netherlands
53,Communist Party of the Netherlands,1982,LEF,3.261,5.652,21.522,1,1.794,-24.783,-23.66,1.794,Netherlands
54,DENK,2017,SOC,0.0,1.4869999999999999,9.382,1,2.055,-24.82800000000001,-14.0,2.055,Netherlands
55,Democratic Socialists‘70,1971,CHR,5.100000000000001,7.100000000000001,7.7,1,5.329,-12.9,6.13,5.329,Netherlands
56,Democratic Socialists‘70,1972,CHR,4.8,5.600000000000001,3.1,1,4.121,-12.9,6.13,4.121,Netherlands
57,Democratic Socialists‘70,1977,CHR,4.4,9.2,4.0,1,0.715,-13.6,6.13,0.715,Netherlands
58,Democrats‘66,1967,LIB,1.9,3.4,10.7,1,4.475000000000001,-18.3,4.61,4.475000000000001,Netherlands
59,Democrats‘66,1971,LIB,3.5,12.4,4.3,1,6.775,-21.3,4.61,6.775,Netherlands
60,Democrats‘66,1972,LIB,3.1,9.2,9.3,1,4.1530000000000005,-44.5,4.61,4.1530000000000005,Netherlands
61,Democrats‘66,1977,LIB,0.0,7.100000000000001,5.0,1,5.439,-26.6,4.61,5.439,Netherlands
62,Democrats‘66,1981,LIB,5.100000000000001,8.3,5.600000000000001,1,11.059000000000001,-22.1,4.61,11.059000000000001,Netherlands
63,Democrats‘66,1982,LIB,4.5,6.9,7.4,1,4.265,-12.6,4.61,4.265,Netherlands
64,Democrats‘66,1986,LIB,3.9,9.8,5.0,1,6.1320000000000014,-4.5,4.61,6.1320000000000014,Netherlands
65,Democrats‘66,1989,LIB,4.1,14.4,4.0,1,7.8870000000000005,-7.5,4.61,7.8870000000000005,Netherlands
66,Democrats‘66,1994,LIB,1.8980000000000001,9.318,3.1919999999999997,1,15.49,-8.24,4.61,15.49,Netherlands
67,Democrats‘66,1998,LIB,6.439,8.227,2.7030000000000003,1,8.99,-17.766,4.61,8.99,Netherlands
68,Democrats‘66,2002,LIB,3.028,7.9060000000000015,1.262,1,5.100000000000001,-8.831,4.61,5.100000000000001,Netherlands
69,Democrats‘66,2003,LIB,1.9180000000000001,3.597,1.679,1,4.08,8.392999999999999,4.61,4.08,Netherlands
70,Democrats‘66,2006,LIB,2.387,5.57,4.31,1,1.964,-1.3259999999999998,4.61,1.964,Netherlands
71,Democrats‘66,2010,LIB,4.691,4.381,5.553999999999999,1,6.943000000000001,2.863,4.61,6.943000000000001,Netherlands
72,Democrats‘66,2012,LIB,2.696,3.784,2.229,1,8.033,-0.778,4.61,8.033,Netherlands
73,Democrats‘66,2017,LIB,2.9410000000000003,5.41,6.276,1,12.227,-6.539,4.61,12.227,Netherlands
74,Forum for Democracy,2017,NAT,0.588,1.176,0.0,1,1.78,16.471,10.25,1.78,Netherlands
75,Freedom Party,1946,LIB,5.600000000000001,0.0,9.7,1,6.412999999999999,19.5,4.61,6.412999999999999,Netherlands
76,General Elderly Alliance,1994,SIP,1.064,4.894,7.553,1,3.6,0.851,3.36,3.6,Netherlands
77,Green Left,1989,ECO,3.4,8.700000000000001,6.100000000000001,1,4.074,-15.0,-13.65,4.074,Netherlands
78,Green Left,1994,ECO,1.5119999999999998,7.797999999999999,2.883,1,3.467,-15.69,-13.65,3.467,Netherlands
79,Green Left,1998,ECO,1.875,10.31,13.265999999999998,1,7.27,-22.783,-13.65,7.27,Netherlands
80,Green Left,2002,ECO,2.573,10.455,2.012,1,6.95,-9.136,-13.65,6.95,Netherlands
81,Green Left,2003,ECO,0.177,6.537000000000001,6.184,1,5.13,19.965,-13.65,5.13,Netherlands
82,Green Left,2006,ECO,2.537,9.274,6.649,1,4.605,-12.423,-13.65,4.605,Netherlands
83,Green Left,2010,ECO,0.642,7.322,14.835999999999999,1,6.67,1.6059999999999999,-13.65,6.67,Netherlands
84,Green Left,2012,ECO,1.785,10.311,7.204,1,2.333,-9.584,-13.65,2.333,Netherlands
85,Green Left,2017,ECO,2.822,7.584000000000001,9.877,1,9.125,-9.347000000000001,-13.65,9.125,Netherlands
86,Labour Party,1946,SOC,6.2,2.5,3.7,1,28.314,-19.8,-14.0,28.314,Netherlands
87,Labour Party,1948,SOC,2.8,1.7,5.5,1,25.604,-14.8,-14.0,25.604,Netherlands
88,Labour Party,1952,SOC,5.100000000000001,0.0,10.2,1,28.971999999999998,-22.6,-14.0,28.971999999999998,Netherlands
89,Labour Party,1956,SOC,3.8,1.0,7.0,1,32.687,-21.0,-14.0,32.687,Netherlands
90,Labour Party,1959,SOC,4.1,0.0,2.7,1,30.357,-28.2,-14.0,30.357,Netherlands
91,Labour Party,1963,SOC,3.4,0.6,8.4,1,28.011,-30.6,-14.0,28.011,Netherlands
92,Labour Party,1967,SOC,2.6,2.6,12.3,1,23.555,-24.6,-14.0,23.555,Netherlands
93,Labour Party,1971,SOC,5.3,4.1,7.8,1,24.6,-39.7,-14.0,24.6,Netherlands
94,Labour Party,1972,SOC,3.1,9.2,9.3,1,27.339000000000002,-44.5,-14.0,27.339000000000002,Netherlands
95,Labour Party,1977,SOC,2.2,6.100000000000001,11.5,1,33.829,-45.6,-14.0,33.829,Netherlands
96,Labour Party,1981,SOC,3.4,5.100000000000001,7.100000000000001,1,28.288,-28.6,-14.0,28.288,Netherlands
97,Labour Party,1982,SOC,2.6,2.4,13.2,1,30.395,-20.7,-14.0,30.395,Netherlands
98,Labour Party,1986,SOC,3.7,7.5,6.9,1,33.271,-20.2,-14.0,33.271,Netherlands
99,Labour Party,1989,SOC,3.4,10.0,5.7,1,31.881,-20.6,-14.0,31.881,Netherlands
100,Labour Party,1994,SOC,1.6680000000000001,7.287000000000001,3.117,1,23.97300000000001,4.258,-14.0,23.97300000000001,Netherlands
101,Labour Party,1998,SOC,3.9410000000000003,9.36,6.847,1,28.98,-22.06900000000001,-14.0,28.98,Netherlands
102,Labour Party,2002,SOC,3.4389999999999996,5.08,2.735,1,15.11,-7.581,-14.0,15.11,Netherlands
103,Labour Party,2003,SOC,2.256,5.513999999999999,4.261,1,27.28,-2.7569999999999997,-14.0,27.28,Netherlands
104,Labour Party,2006,SOC,5.732,2.734,7.055,1,21.193,0.838,-14.0,21.193,Netherlands
105,Labour Party,2010,SOC,1.4269999999999998,1.962,11.652999999999999,1,19.63,0.654,-14.0,19.63,Netherlands
106,Labour Party,2012,SOC,2.029,2.935,8.187999999999999,1,24.838,-6.558,-14.0,24.838,Netherlands
107,Labour Party,2017,SOC,4.292,7.808,7.945,1,5.702999999999999,-13.835999999999999,-14.0,5.702999999999999,Netherlands
108,List Pim Fortuyn,2002,NAT,2.362,0.787,5.5120000000000005,1,17.0,14.960999999999999,10.25,17.0,Netherlands
109,List Pim Fortuyn,2003,NAT,3.235,2.353,1.3730000000000002,1,5.71,3.235,10.25,5.71,Netherlands
110,Livable Netherlands,2002,LIB,5.069,3.687,3.2260000000000004,1,1.61,10.138,4.61,1.61,Netherlands
111,Livable Netherlands,2003,LIB,3.9589999999999996,3.045,2.801,1,0.40299999999999997,-13.764000000000001,4.61,0.40299999999999997,Netherlands
112,Pacifist Socialist Party,1986,LEF,2.145,10.286,11.770999999999999,1,1.2,-23.541999999999998,-23.66,1.2,Netherlands
113,Party for the Animals,2006,SIP,1.151,62.025,1.496,1,1.829,4.373,3.36,1.829,Netherlands
114,Party for the Animals,2010,SIP,0.295,62.111999999999995,3.471,1,1.3,2.363,3.36,1.3,Netherlands
115,Party for the Animals,2012,SIP,1.092,41.982,2.015,1,1.933,-6.465,3.36,1.933,Netherlands
116,Party for the Animals,2017,SIP,2.242,24.526999999999997,2.313,1,3.188,-18.851,3.36,3.188,Netherlands
117,Party of Freedom,2006,NAT,0.0,2.92,0.0,1,5.89,38.686,10.25,5.89,Netherlands
118,Party of Freedom,2010,NAT,1.18,4.13,3.392,1,15.45,13.274000000000001,10.25,15.45,Netherlands
119,Party of Freedom,2012,NAT,0.10800000000000001,2.05,0.863,1,10.083,15.642000000000001,10.25,10.083,Netherlands
120,Party of Freedom,2017,NAT,0.0,0.0,0.0,1,13.056,20.0,10.25,13.056,Netherlands
121,People’s Party for Freedom and Democracy,1948,LIB,4.0,0.0,16.0,1,7.945,20.0,4.61,7.945,Netherlands
122,People’s Party for Freedom and Democracy,1952,LIB,3.8,0.0,9.6,1,8.827999999999998,32.6,4.61,8.827999999999998,Netherlands
123,People’s Party for Freedom and Democracy,1956,LIB,2.7,0.0,3.8,1,8.774000000000001,10.4,4.61,8.774000000000001,Netherlands
124,People’s Party for Freedom and Democracy,1959,LIB,0.9,0.0,6.4,1,12.212,17.4,4.61,12.212,Netherlands
125,People’s Party for Freedom and Democracy,1963,LIB,4.9,1.6,4.7,1,10.287,9.7,4.61,10.287,Netherlands
126,People’s Party for Freedom and Democracy,1967,LIB,5.8,0.9,2.9,1,10.732999999999999,10.3,4.61,10.732999999999999,Netherlands
127,People’s Party for Freedom and Democracy,1971,LIB,6.0,3.2,3.8,1,10.341,-1.8,4.61,10.341,Netherlands
128,People’s Party for Freedom and Democracy,1972,LIB,0.0,3.3,1.6,1,14.449000000000002,21.3,4.61,14.449000000000002,Netherlands
129,People’s Party for Freedom and Democracy,1977,LIB,3.1,3.1,2.7,1,17.945999999999994,13.4,4.61,17.945999999999994,Netherlands
130,People’s Party for Freedom and Democracy,1981,LIB,2.9,4.0,3.4,1,17.320999999999998,7.600000000000001,4.61,17.320999999999998,Netherlands
131,People’s Party for Freedom and Democracy,1982,LIB,1.3,2.5,5.100000000000001,1,23.076999999999998,21.0,4.61,23.076999999999998,Netherlands
132,People’s Party for Freedom and Democracy,1986,LIB,3.2,7.9,3.4,1,17.410999999999998,6.600000000000001,4.61,17.410999999999998,Netherlands
133,People’s Party for Freedom and Democracy,1989,LIB,3.8,9.6,3.1,1,14.565999999999999,4.5,4.61,14.565999999999999,Netherlands
134,People’s Party for Freedom and Democracy,1994,LIB,0.546,3.279,0.9109999999999999,1,19.956,15.118,4.61,19.956,Netherlands
135,People’s Party for Freedom and Democracy,1998,LIB,3.301,4.792,1.4909999999999999,1,24.69,7.242000000000001,4.61,24.69,Netherlands
136,People’s Party for Freedom and Democracy,2002,LIB,2.319,2.019,1.3459999999999999,1,15.44,18.923,4.61,15.44,Netherlands
137,People’s Party for Freedom and Democracy,2003,LIB,0.493,1.97,0.985,1,17.95,28.079,4.61,17.95,Netherlands
138,People’s Party for Freedom and Democracy,2006,LIB,2.947,2.762,2.394,1,14.67,20.81,4.61,14.67,Netherlands
139,People’s Party for Freedom and Democracy,2010,LIB,2.037,1.9709999999999999,3.614,1,20.47,19.382,4.61,20.47,Netherlands
140,People’s Party for Freedom and Democracy,2012,LIB,1.163,0.9309999999999999,2.443,1,26.58,22.629,4.61,26.58,Netherlands
141,People’s Party for Freedom and Democracy,2017,LIB,2.952,4.516,2.169,1,21.285,10.953,4.61,21.285,Netherlands
142,Radical Political Party,1971,SOC,0.7000000000000001,5.0,15.7,1,1.837,-36.3,-14.0,1.837,Netherlands
143,Radical Political Party,1972,SOC,3.1,9.2,9.3,1,4.7989999999999995,-44.5,-14.0,4.7989999999999995,Netherlands
144,Radical Political Party,1977,SOC,2.3,13.5,6.5,1,1.694,-42.4,-14.0,1.694,Netherlands
145,Radical Political Party,1981,SOC,1.15,7.7,9.6,1,1.9680000000000002,-25.2,-14.0,1.9680000000000002,Netherlands
146,Radical Political Party,1982,SOC,0.0,1.9,12.7,1,1.6569999999999998,-8.0,-14.0,1.6569999999999998,Netherlands
147,Radical Political Party,1986,SOC,3.4,5.4,8.0,1,1.256,-12.9,-14.0,1.256,Netherlands
148,Reformatory Political Federation,1981,CHR,2.079,5.081,0.6930000000000001,1,1.247,37.644,6.13,1.247,Netherlands
149,Reformatory Political Federation,1982,CHR,2.079,5.081,0.6930000000000001,1,1.508,37.644,6.13,1.508,Netherlands
150,Reformatory Political Federation,1989,CHR,1.392,16.227,5.2810000000000015,1,0.961,17.811,6.13,0.961,Netherlands
151,Reformatory Political Federation,1994,CHR,2.0580000000000003,15.14,4.851,1,1.8,24.89,6.13,1.8,Netherlands
152,Reformatory Political Federation,1998,CHR,1.8769999999999998,8.244,1.4080000000000001,1,2.028,24.59800000000001,6.13,2.028,Netherlands
153,Reformed Political League,1982,CHR,1.844,4.121,1.6269999999999998,1,0.8150000000000001,24.62,6.13,0.8150000000000001,Netherlands
154,Reformed Political League,1989,CHR,2.055,9.115,4.7360000000000015,1,1.236,28.686,6.13,1.236,Netherlands
155,Reformed Political League,1994,CHR,2.144,9.188,3.292,1,1.3,24.426,6.13,1.3,Netherlands
156,Reformed Political League,1998,CHR,1.641,11.873,6.7570000000000014,1,1.2,13.802999999999999,6.13,1.2,Netherlands
157,Reformed Political Party,1946,SIP,0.0,0.0,4.0,1,2.138,56.0,3.36,2.138,Netherlands
158,Reformed Political Party,1948,SIP,0.0,1.754,3.509,1,2.371,54.386,3.36,2.371,Netherlands
159,Reformed Political Party,1982,SIP,0.795,2.517,3.576,1,1.902,29.801,3.36,1.902,Netherlands
160,Reformed Political Party,1986,SIP,0.809,4.449,0.0,1,1.739,31.951,3.36,1.739,Netherlands
161,Reformed Political Party,1989,SIP,0.597,11.665999999999999,3.0389999999999997,1,1.8730000000000002,34.021,3.36,1.8730000000000002,Netherlands
162,Reformed Political Party,1994,SIP,0.524,7.853,5.7589999999999995,1,1.729,28.796,3.36,1.729,Netherlands
163,Reformed Political Party,1998,SIP,1.296,8.664,3.158,1,1.781,26.559,3.36,1.781,Netherlands
164,Reformed Political Party,2002,SIP,1.371,7.372000000000001,4.962,1,1.7180000000000002,18.242,3.36,1.7180000000000002,Netherlands
165,Reformed Political Party,2006,SIP,0.183,2.5660000000000003,3.85,1,1.558,29.055999999999997,3.36,1.558,Netherlands
166,Reformed Political Party,2010,SIP,0.389,2.384,6.326000000000001,1,1.74,23.114,3.36,1.74,Netherlands
167,Reformed Political Party,2012,SIP,0.331,2.6489999999999996,1.932,1,2.088,26.6,3.36,2.088,Netherlands
168,Reformed Political Party,2017,SIP,1.5130000000000001,5.504,0.7140000000000001,1,2.082,24.706,3.36,2.082,Netherlands
169,Socialist Party,1994,LEF,0.0,7.7189999999999985,17.544,1,1.3219999999999998,-19.298,-23.66,1.3219999999999998,Netherlands
170,Socialist Party,1998,LEF,4.9719999999999995,9.337,3.2039999999999997,1,3.528,-18.177,-23.66,3.528,Netherlands
171,Socialist Party,2002,LEF,4.9719999999999995,9.337,3.2039999999999997,1,5.9,-18.177,-23.66,5.9,Netherlands
172,Socialist Party,2003,LEF,4.783,8.583,3.576,1,6.33,-16.942,-23.66,6.33,Netherlands
173,Socialist Party,2006,LEF,4.618,5.131,6.442,1,16.575,-8.951000000000002,-23.66,16.575,Netherlands
174,Socialist Party,2010,LEF,3.4019999999999997,4.124,10.206,1,9.83,-13.093,-23.66,9.83,Netherlands
175,Socialist Party,2012,LEF,3.259,7.9529999999999985,6.519,1,9.654,-20.926,-23.66,9.654,Netherlands
176,Socialist Party,2017,LEF,4.093999999999999,7.251,6.0820000000000025,1,9.087,-23.041,-23.66,9.087,Netherlands
177,Union 55+,1994,SIP,0.0,2.62,8.734,1,0.9,5.24,3.36,0.9,Netherlands
0,ANO 2011,2013,LIB,4.834000000000001,3.867,3.4530000000000003,1,18.657,-9.945,4.61,18.657,Czech Republic
1,ANO 2011,2017,LIB,6.747000000000001,2.076,1.4709999999999999,1,29.642,-13.668,4.61,29.642,Czech Republic
2,Association for the Republic – Republican Party of Czechoslovakia,1992,NAT,0.0,8.163,0.0,1,5.967000000000001,6.122000000000001,10.25,5.967000000000001,Czech Republic
3,Association for the Republic – Republican Party of Czechoslovakia,1996,NAT,4.348,3.478,0.0,1,8.006,7.826000000000001,10.25,8.006,Czech Republic
4,Association for the Republic – Republican Party of Czechoslovakia,1998,NAT,0.0,0.0,4.348,1,3.9,0.725,10.25,3.9,Czech Republic
5,Association for the Republic – Republican Party of Czechoslovakia,2002,NAT,0.39799999999999996,5.178999999999999,2.39,1,0.97,19.522000000000002,10.25,0.97,Czech Republic
6,Christian Democratic Party,1992,CHR,3.03,11.255,2.165,1,0.0,4.329,6.13,0.0,Czech Republic
7,Christian and Democratic Union,1990,CHR,2.156,8.833,3.005,1,8.39,20.754,6.13,8.39,Czech Republic
8,Christian and Democratic Union - Czech People's Party,1992,CHR,2.247,4.494,2.247,1,6.2650000000000015,0.0,6.13,6.2650000000000015,Czech Republic
9,Christian and Democratic Union - Czech People's Party,1996,CHR,2.778,6.327000000000001,2.778,1,8.076,5.556,6.13,8.076,Czech Republic
10,Christian and Democratic Union - Czech People's Party,1998,CHR,2.1830000000000003,8.734,1.31,1,8.996,-6.114,6.13,8.996,Czech Republic
11,Christian and Democratic Union - Czech People's Party,2006,CHR,3.628,4.157,1.814,1,7.23,-1.1340000000000001,6.13,7.23,Czech Republic
12,Christian and Democratic Union - Czech People's Party,2010,CHR,1.8769999999999998,3.5839999999999996,2.9010000000000002,1,4.4,1.536,6.13,4.4,Czech Republic
13,Christian and Democratic Union - Czech People's Party,2013,CHR,3.892,6.287000000000001,0.898,1,6.78,-23.054000000000002,6.13,6.78,Czech Republic
14,Christian and Democratic Union - Czech People's Party,2017,CHR,2.314,2.8280000000000003,1.7990000000000002,1,5.8020000000000005,-21.337,6.13,5.8020000000000005,Czech Republic
15,Christian and Democratic Union - Czech People's Party -  Freedom Union - Democratic Union,2002,CON,1.8419999999999999,3.867,1.105,1,14.276,8.287,11.64,14.276,Czech Republic
16,Civic Democratic Alliance,1992,LIB,3.325,8.184000000000001,1.79,1,5.916,12.02,4.61,5.916,Czech Republic
17,Civic Democratic Alliance,1996,LIB,2.364,3.455,4.1819999999999995,1,6.36,23.273000000000003,4.61,6.36,Czech Republic
18,Civic Democratic Party,1992,CON,5.114,9.091,0.5680000000000001,1,0.0,39.773,11.64,0.0,Czech Republic
19,Civic Democratic Party,1996,CON,2.085,2.085,1.723,1,29.616999999999997,17.498,11.64,29.616999999999997,Czech Republic
20,Civic Democratic Party,1998,CON,0.278,0.41700000000000004,2.083,1,27.741,30.278000000000002,11.64,27.741,Czech Republic
21,Civic Democratic Party,2002,CON,0.0,3.2319999999999998,1.795,1,24.475,40.036,11.64,24.475,Czech Republic
22,Civic Democratic Party,2006,CON,2.489,3.4410000000000003,4.319,1,35.38,20.791,11.64,35.38,Czech Republic
23,Civic Democratic Party,2010,CON,3.81,4.762,1.19,1,20.22,11.19,11.64,20.22,Czech Republic
24,Civic Democratic Party,2013,CON,3.02,3.3560000000000003,3.188,1,7.73,6.376,11.64,7.73,Czech Republic
25,Civic Democratic Party,2017,CON,3.005,3.825,1.3659999999999999,1,11.322000000000001,2.186,11.64,11.322000000000001,Czech Republic
26,Civic Democratic Party - Christian Democratic Party,1992,CON,4.072,10.173,1.3659999999999999,1,29.67,22.051,11.64,29.67,Czech Republic
27,Civic Forum,1990,LIB,1.198,2.395,0.599,1,49.352,14.370999999999999,4.61,49.352,Czech Republic
28,Communist Party of Bohemia and Moravia,1996,LEF,5.34,6.311,5.34,1,10.334000000000001,-3.398,-23.66,10.334000000000001,Czech Republic
29,Communist Party of Bohemia and Moravia,1998,LEF,3.39,5.569,1.9369999999999998,1,11.032,-9.443,-23.66,11.032,Czech Republic
30,Communist Party of Bohemia and Moravia,2002,LEF,3.6710000000000003,4.371,2.0980000000000003,1,18.512,-14.51,-23.66,18.512,Czech Republic
31,Communist Party of Bohemia and Moravia,2006,LEF,2.677,4.5889999999999995,6.882999999999999,1,12.81,-22.18,-23.66,12.81,Czech Republic
32,Communist Party of Bohemia and Moravia,2010,LEF,3.273,5.818000000000001,1.818,1,11.27,-28.364,-23.66,11.27,Czech Republic
33,Communist Party of Bohemia and Moravia,2013,LEF,4.511,7.519,5.263,1,14.91,-34.961999999999996,-23.66,14.91,Czech Republic
34,Communist Party of Bohemia and Moravia,2017,LEF,2.611,2.872,4.439,1,7.768,-40.209,-23.66,7.768,Czech Republic
35,Communist Party of Czechoslovakia,1990,LEF,6.494,8.442,5.195,1,13.200999999999999,-17.532,-23.66,13.200999999999999,Czech Republic
36,Czech Pirate Party,2017,SIP,4.6419999999999995,3.675,0.193,1,10.797,-21.083000000000002,3.36,10.797,Czech Republic
37,Czech Social Democratic Party,1996,SOC,3.3139999999999996,6.627999999999999,3.3139999999999996,1,26.443,0.195,-14.0,26.443,Czech Republic
38,Czech Social Democratic Party,1998,SOC,4.862,2.76,2.102,1,32.309,0.263,-14.0,32.309,Czech Republic
39,Czech Social Democratic Party,2002,SOC,2.655,2.655,5.31,1,30.206999999999997,-10.177,-14.0,30.206999999999997,Czech Republic
40,Czech Social Democratic Party,2006,SOC,4.023,6.194,6.769,1,32.32,-12.58,-14.0,32.32,Czech Republic
41,Czech Social Democratic Party,2010,SOC,1.8230000000000002,4.348,4.769,1,22.09,-10.659,-14.0,22.09,Czech Republic
42,Czech Social Democratic Party,2013,SOC,4.651,16.047,3.2560000000000002,1,20.459,-26.279,-14.0,20.459,Czech Republic
43,Czech Social Democratic Party,2017,SOC,3.966,1.8969999999999998,8.276,1,7.278,-36.552,-14.0,7.278,Czech Republic
44,Czechoslovak People’s Party,1990,CON,1.2819999999999998,6.41,3.846,1,0.0,37.179,11.64,0.0,Czech Republic
